worker,concurrency,max_tokens,duration_s,completed,errors,req_per_sec,gen_lat_mean,gen_lat_p50,gen_lat_p99,response_bytes_mean,response_bytes_max
baseline,1,64,30.022349620237947,51,0,1.6987344643279054,0.5501069434206275,0.5173946563154459,1.8959802147001028,860,860
baseline,2,64,30.47168045025319,120,0,3.9380827780701844,0.5071948595888291,0.5133432634174824,0.5825026156380773,851.6416666666667,860
baseline,4,64,30.414571788161993,213,0,7.003222056964951,0.56455216579524,0.565353668294847,0.599288921803236,859.7605633802817,860
baseline,8,64,30.36842046957463,424,0,13.961872018493525,0.5718196054793157,0.5724068097770214,0.6101759066805243,859.9198113207547,860
qk,1,64,30.365410963073373,26,0,0.856237382448667,1.1052719646205122,1.0524729238823056,2.3675516648218036,9643562.192307692,24312642
qk,2,64,30.849245773628354,53,0,1.7180322782901662,1.092770736453668,1.0859896373003721,1.648572507314384,9056781.79245283,9056799
qk,4,64,31.006293625570834,88,0,2.838133479050413,1.3357058752179993,1.237671684473753,2.210479460656643,9056768.113636363,9056799
qk,8,64,32.15488611254841,98,0,3.0477483159785037,2.47514656446494,2.3122966289520264,5.146016583777964,9056807.581632653,9057825
hidden_states,1,64,30.61996582709253,33,0,1.0777281786121922,0.8946550927886908,0.8600288303568959,2.0315756294876337,6101687.151515151,20489596
hidden_states,2,64,30.328678481280804,64,0,2.1102139362749193,0.9132699012261583,0.9131919536739588,1.0343223558738828,5652056.234375,5652065
hidden_states,4,64,30.921503014862537,117,0,3.7837746743346696,1.012465708467186,0.9803443364799023,1.44137660600245,5651977.230769231,5652065
hidden_states,8,64,31.377172955311835,141,0,4.493712680897536,1.7067118410998625,1.5650010481476784,3.4360924316570163,5649502.929078015,5652065
